,song,artist,sum,count,lastfm_count
353,Hooked On A Feeling,B.J. Thomas,448,16,126136.0
354,Bristol Stomp,The Dovells,319,16,31348.0
355,Twist And Shout,The Isley Brothers,622,16,300873.0
356,Georgy Girl,The Seekers,425,16,141705.0
357,Summertime Blues,Eddie Cochran,478,16,834881.0
358,Magic Carpet Ride,Steppenwolf,371,16,1560512.0
359,You've Really Got A Hold On Me,The Miracles,585,16,211118.0
360,Tuff,Ace Cannon,629,16,10088.0
361,Stuck On You,Elvis Presley With The Jordanaires,339,16,560396.0
362,Hot Fun In The Summertime,Sly & The Family Stone,364,16,272182.0
363,Stand By Your Man,Tammy Wynette,736,16,460822.0
364,You've Lost That Lovin' Feelin',The Righteous Brothers,282,16,601348.0
365,Dear Lady Twist,Gary U.S. Bonds,443,16,6655.0
366,Gentle On My Mind,Patti Page,1370,16,1433.0
367,Stoned Soul Picnic,The 5th Dimension,401,16,61318.0
368,Desafinado,Stan Getz/Charlie Byrd,629,16,1796.0
369,Brown Eyed Girl,Van Morrison,631,16,3608286.0
370,How The Time Flies,Jerry Wallace,651,16,3379.0
371,Gentle On My Mind,Glen Campbell,1072,16,115509.0
372,But I Do,Clarence Henry,522,16,29354.0
373,Love Is All We Need,Tommy Edwards,618,16,5032.0
374,Ten Commandments Of Love,Harvey & The Moonglows,846,16,14356.0
375,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,859,16,19197.0
376,Chain Gang,Sam Cooke,322,16,624320.0
377,I Want To Take You Higher,Sly & The Family Stone,955,16,378067.0
378,Sleep,Little Willie John,602,16,5131.0
379,"Baby, I'm For Real",The Originals,514,16,66519.0
380,Wolverton Mountain,Claude King,470,16,50087.0
381,Bimbombey,Jimmie Rodgers,520,16,1703.0
382,"Baby, I Love You",Andy Kim,511,16,4860.0
383,Lonely Teenager,Dion,578,16,25357.0
384,The Boll Weevil Song,Brook Benton,418,16,12768.0
385,Lonely Street,Andy Williams,404,16,12633.0
386,Crying,Roy Orbison,333,16,726965.0
387,Walk On By,Leroy Van Dyke,423,16,67660.0
388,I've Gotta Be Me,Sammy Davis Jr.,587,16,22899.0
389,I've Had It,The Bell Notes,509,16,7756.0
390,Rockin' Little Angel,Ray Smith,780,16,12593.0
391,Love Child,Diana Ross & The Supremes,170,16,154056.0
392,Travelin' Man,Ricky Nelson,267,16,101294.0
393,Shop Around,The Miracles (featuring Bill Smokey Robinson),376,16,0.0
394,Doggin' Around,Jackie Wilson,645,16,35791.0
395,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,588,16,16255.0
396,I Love You Because,Al Martino,486,16,26454.0
397,Anymore,Teresa Brewer,818,16,276.0
398,May You Always,The McGuire Sisters,542,16,4747.0
399,Since I Fell For You,Lenny Welch,446,16,26903.0
400,The All American Boy,Bill Parsons,397,16,4263.0
401,The Angels Listened In,The Crests,781,16,27366.0
402,Na Na Hey Hey Kiss Him Goodbye,Steam,300,16,136768.0
403,I Understand (Just How You Feel),The G-Clefs,564,16,425.0
404,I Wanna Be Around,Tony Bennett,671,16,159189.0
405,War,Edwin Starr,224,15,1131586.0
406,Lonely Blue Boy,Conway Twitty,539,15,48928.0
407,Two Faces Have I,Lou Christie,520,15,32645.0
408,Leave My Kitten Alone,Little Willie John,1074,15,10958.0
